ID,VISIT,microb_large_emb_coord_1,microb_large_emb_coord_2,microb_large_emb_coord_3,microb_large_emb_coord_4,microb_large_emb_coord_5,microb_large_emb_coord_6,microb_large_emb_coord_7,microb_large_emb_coord_8,microb_large_emb_coord_9,microb_large_emb_coord_10,microb_large_emb_coord_11,microb_large_emb_coord_12,microb_large_emb_coord_13,microb_large_emb_coord_14,microb_large_emb_coord_15,microb_large_emb_coord_16,microb_large_emb_coord_17,microb_large_emb_coord_18,microb_large_emb_coord_19,microb_large_emb_coord_20
41,1,0.03247678847624238,0.0006005418215200753,-0.008879049645642812,0.09458207607986188,-0.026135485552976408,-0.043987986904408305,0.018108051891354875,0.060227973263142776,-0.052504685128709774,-0.013598496001640106,-0.012428793377730394,-0.07769086354955605,-0.03770394277319478,0.014636067991049004,0.015266947341169818,0.06028750398709578,-0.06546805500189994,0.01741705903647897,0.11031668657202585,0.0246680528870827
41,3,0.03512237014075168,0.048038968333558335,-0.05044008891549633,0.06484291586517046,-0.01735347383954209,-0.03192523772464355,-0.049152684979053916,0.10219594743552995,-0.12606379809654034,-0.017938164108574003,-0.017361330555631275,0.026671724832742175,-0.05676065802384198,0.04550387062799316,0.09597233443011652,0.019498937226217684,-0.021360331655808956,-0.005048954367056145,-0.005653425148978721,-0.022913650727103285
42,3,0.03986989094119343,-0.01578510128481061,0.10831041178509031,0.15533798939836024,0.04648490071164059,0.015532782987495178,0.16232030834883932,-0.01497112834829757,0.04900897697411455,-0.01628477165462911,-0.012004031105927649,0.07747455828858295,-0.0026943770595980964,0.026699358456191737,0.04880436265031779,-0.034937367499907335,0.012018132265462453,-0.012098018218589733,-0.04337346171849792,-0.025384364347071305
43,1,-0.20737951668535684,0.0769915784271091,0.08648467175847763,0.01237167763045913,-0.0003580112244553976,-0.1581359061860349,-0.041593048855626646,-0.012192076448982648,0.021853950063091505,-0.09306821713463219,0.007593531899382533,0.039420503008022946,-0.05524260352548711,-0.03408089592027572,-0.04709219878794074,-0.009768389934186451,-0.008232652844702568,-0.010595317291953102,-0.012904699057007729,-0.0160908521047802
43,3,-0.13553203845140857,0.011494060043868989,0.005973775744526239,-0.015038172471952712,-0.006387955087781141,0.07459965121238223,0.04359319657784132,0.06825965735585124,-0.020174421752477717,0.13675117962600009,-0.0558732485257141,-0.04319678921932927,0.08128313366184498,-0.00983187234740231,0.0821765571936784,0.05888135325151239,0.10983955004863634,0.0021409246664171777,0.026800402921278686,0.06329120526352233
44,1,0.04113341628057535,0.029072448262725724,0.03182535134606617,0.026449919093322654,-0.027775052692199587,-0.00910414039354197,0.02224267859630524,0.030739892481965056,-0.011618805201036312,-0.010996136124850309,0.02234153185705662,-0.03297504008564425,0.0070100075037956375,-0.00115576300735554,-0.01709840981260013,0.046447861345798404,0.0013937537646746588,0.003749722724743968,0.03579511417346111,0.03247064904808905
44,3,0.03585972056868381,0.036647736402935754,-0.032613919266809954,0.0878820166184403,-0.04005703620418475,-0.02819792710944619,-0.04435180478134968,0.08057794555825855,-0.07872873666441639,-0.032308598100438075,-0.03831585890314206,-0.11541021237156908,-0.02683818029832084,0.0002841806681784475,0.014827832105936169,0.03411208725929395,0.001980785664148768,-0.06351151005867721,-0.015529668265337023,-0.03179614413876885
46,1,0.010197031966962884,0.0034791770097196734,-0.051308895973536495,0.03151010184016064,-0.013620840875093925,0.023088703392281196,-0.05913972346378387,0.08928536579031676,-0.07753886960250259,-0.01115043647307876,-0.0718854003597835,0.1402479786105832,-0.09132907377962399,0.03716936101807657,0.018239371217786175,0.1444880129769374,-0.03803861605700466,0.0390358934076193,-0.06749162239962629,-0.004075934761772006
46,3,0.011004383340380034,-0.022507703339501934,-0.04690051640805859,0.028955124174722194,-0.021155371528737678,0.004059488512565212,-0.03231405144540915,0.07995685955825904,-0.045779511248583114,-0.023107482748610558,-0.05418049173784768,0.0709980033928436,-0.09625581937872102,0.0029778964225797796,-0.008571755121891568,0.09440365671119408,-0.06410633992345545,0.016672549423671343,-0.019291093699372923,0.031465249915262075
47,1,-0.19047812597674454,0.07152288156953307,0.07038635265712231,0.014073992858698566,0.0015717656086056847,-0.12203121631714757,-0.03971525600703298,-0.03180856927256503,0.01493469469681219,-0.08658105891089694,0.02255971182987609,0.033426696783656236,-0.04521433298652731,0.0001335011996070569,-0.05165729995232288,-0.0223652967494366,-0.039971661855519765,0.00435702010430585,0.005901014077498508,-0.028199118608621867
47,3,0.009244423222381708,0.02288987988388418,-0.06295969474286271,0.05758544970580642,-0.0339522775580774,0.03364219965565448,-0.07557151009653691,-0.02855097595288042,0.10002859598116981,-0.000535304669003657,-0.0539831992493917,-0.008948755202562832,-0.012863285269404924,0.017441640575033758,0.009107524999840366,-0.1075499397442845,0.054244226966761774,-0.02116907279499855,0.06717206781048336,-0.006367895023070026
48,3,-0.003501873057791193,-0.07770071064188465,-0.018704134900983427,0.007363391944348436,-0.013990267966175252,-0.0037009241674057546,0.04109800884925105,0.01646278282920532,0.009098689545193467,-0.03777079381826167,0.017361715265571044,-0.020437930267781408,-0.018753439886013704,-0.025842723762037924,-0.014357029099249158,-0.00337990046403864,-0.1019984326325837,0.05969381806629418,0.04300597132712689,0.049813520224215146
49,3,-0.19156315265542526,0.0658625131459953,0.07022293723777044,0.00973445823949298,-0.00020734441779359753,-0.11268584803801746,-0.02862929532291948,-0.010210318826870533,0.012982677262174882,-0.057489553454320115,0.008094895789175837,0.01902411691986079,-0.030871078479600043,-0.01825349889485225,-0.018956046559237383,-0.006683283896987466,-0.01671105600458979,-0.0027694378695170135,-0.013751136308853537,-0.011760360209704805
50,1,0.0381875309224797,0.04295313964104457,-0.026480966253603445,0.07075041356296198,-0.0408201142537509,-0.027852585141025794,-0.043009479717429,0.08419187878400068,-0.08117538662507123,-0.025485427448582877,-0.017671971691854943,-0.10182168366185286,-0.015100224111883668,-0.0020267277736597178,0.012967890758255388,0.013898354934118234,0.008158376309734032,-0.08167232386951714,-0.055900400402371986,-0.05346650440434681
50,3,0.035384182548499815,0.02844573510018054,-0.021250283926989057,0.07575313278376863,-0.031684937013542684,-0.030106583301018636,-0.023801950862988096,0.07029109360140107,-0.053809312881884584,-0.019437711458580927,-0.018476184189349813,-0.09848919487479532,-0.021181874551980874,-0.0038342683444832345,0.005600130758789458,0.036097662515823775,-0.025186331679575725,-0.023804626100825246,0.03168900132019339,0.002712221275979387
